Number,Prefecture,Municipality
906,長野県,飯綱町
907,長野県,栄村
908,岐阜県,岐阜市
909,岐阜県,大垣市
910,岐阜県,高山市
911,岐阜県,多治見市
912,岐阜県,関市
913,岐阜県,中津川市
914,岐阜県,美濃市
915,岐阜県,瑞浪市
916,岐阜県,羽島市
917,岐阜県,恵那市
918,岐阜県,美濃加茂市
919,岐阜県,土岐市
920,岐阜県,各務原市
921,岐阜県,可児市
922,岐阜県,山県市
923,岐阜県,瑞穂市
924,岐阜県,飛騨市
925,岐阜県,本巣市
926,岐阜県,郡上市
927,岐阜県,下呂市
928,岐阜県,海津市
929,岐阜県,岐南町
930,岐阜県,笠松町
931,岐阜県,養老町
932,岐阜県,垂井町
933,岐阜県,関ケ原町
934,岐阜県,神戸町
935,岐阜県,輪之内町
936,岐阜県,安八町
937,岐阜県,揖斐川町
938,岐阜県,大野町
939,岐阜県,池田町
940,岐阜県,北方町
941,岐阜県,坂祝町
942,岐阜県,富加町
943,岐阜県,川辺町
944,岐阜県,七宗町
945,岐阜県,八百津町
946,岐阜県,白川町
947,岐阜県,東白川村
948,岐阜県,御嵩町
949,岐阜県,白川村
950,静岡県,静岡市
951,静岡県,浜松市
952,静岡県,沼津市
953,静岡県,熱海市
954,静岡県,三島市
955,静岡県,富士宮市
956,静岡県,伊東市
957,静岡県,島田市
958,静岡県,富士市
959,静岡県,磐田市
960,静岡県,焼津市
961,静岡県,掛川市
962,静岡県,藤枝市
963,静岡県,御殿場市
964,静岡県,袋井市
965,静岡県,下田市
966,静岡県,裾野市
967,静岡県,湖西市
968,静岡県,伊豆市
969,静岡県,御前崎市
970,静岡県,菊川市
971,静岡県,伊豆の国市
972,静岡県,牧之原市
973,静岡県,東伊豆町
974,静岡県,河津町
975,静岡県,南伊豆町
976,静岡県,松崎町
977,静岡県,西伊豆町
978,静岡県,函南町
979,静岡県,清水町
980,静岡県,長泉町
981,静岡県,小山町
982,静岡県,吉田町
983,静岡県,川根本町
984,静岡県,森町
985,愛知県,名古屋市
986,愛知県,豊橋市
987,愛知県,岡崎市
988,愛知県,一宮市
989,愛知県,瀬戸市
990,愛知県,半田市
991,愛知県,春日井市
992,愛知県,豊川市
993,愛知県,津島市
994,愛知県,碧南市
995,愛知県,刈谷市
996,愛知県,豊田市
997,愛知県,安城市
998,愛知県,西尾市
999,愛知県,蒲郡市
1000,愛知県,犬山市
1001,愛知県,常滑市
1002,愛知県,江南市
1003,愛知県,小牧市
1004,愛知県,稲沢市
1005,愛知県,新城市
1006,愛知県,東海市
1007,愛知県,大府市
1008,愛知県,知多市
1009,愛知県,知立市
1010,愛知県,尾張旭市
1011,愛知県,高浜市
1012,愛知県,岩倉市
1013,愛知県,豊明市
1014,愛知県,日進市
1015,愛知県,田原市
1016,愛知県,愛西市
1017,愛知県,清須市
1018,愛知県,北名古屋市
1019,愛知県,弥富市
1020,愛知県,みよし市
1021,愛知県,あま市
1022,愛知県,長久手市
1023,愛知県,東郷町
1024,愛知県,豊山町
1025,愛知県,大口町
1026,愛知県,扶桑町
1027,愛知県,大治町
1028,愛知県,蟹江町
1029,愛知県,飛島村
1030,愛知県,阿久比町
1031,愛知県,東浦町
1032,愛知県,南知多町
1033,愛知県,美浜町
1034,愛知県,武豊町
1035,愛知県,幸田町
1036,愛知県,設楽町
1037,愛知県,東栄町
1038,愛知県,豊根村
1039,三重県,津市
1040,三重県,四日市市
1041,三重県,伊勢市
1042,三重県,松阪市
1043,三重県,桑名市
1044,三重県,鈴鹿市
1045,三重県,名張市
1046,三重県,尾鷲市
1047,三重県,亀山市
1048,三重県,鳥羽市
1049,三重県,熊野市
1050,三重県,いなべ市
1051,三重県,志摩市
1052,三重県,伊賀市
1053,三重県,木曽岬町
1054,三重県,東員町
1055,三重県,菰野町
1056,三重県,朝日町
1057,三重県,川越町
1058,三重県,多気町
1059,三重県,明和町
1060,三重県,大台町
1061,三重県,玉城町
1062,三重県,度会町
1063,三重県,大紀町
1064,三重県,南伊勢町
1065,三重県,紀北町
1066,三重県,御浜町
1067,三重県,紀宝町
1068,滋賀県,大津市
1069,滋賀県,彦根市
1070,滋賀県,長浜市
1071,滋賀県,近江八幡市
1072,滋賀県,草津市
1073,滋賀県,守山市
1074,滋賀県,栗東市
1075,滋賀県,甲賀市
1076,滋賀県,野洲市
1077,滋賀県,湖南市
1078,滋賀県,高島市
1079,滋賀県,東近江市
1080,滋賀県,米原市
1081,滋賀県,日野町
1082,滋賀県,竜王町
1083,滋賀県,愛荘町
1084,滋賀県,豊郷町
1085,滋賀県,甲良町
1086,滋賀県,多賀町
1087,京都府,京都市
1088,京都府,福知山市
1089,京都府,舞鶴市
1090,京都府,綾部市
1091,京都府,宇治市
1092,京都府,宮津市
1093,京都府,亀岡市
1094,京都府,城陽市
1095,京都府,向日市
1096,京都府,長岡京市
1097,京都府,八幡市
1098,京都府,京田辺市
1099,京都府,京丹後市
1100,京都府,南丹市
1101,京都府,木津川市
1102,京都府,大山崎町
1103,京都府,久御山町
1104,京都府,井手町
1105,京都府,宇治田原町
1106,京都府,笠置町
1107,京都府,和束町
1108,京都府,精華町
1109,京都府,南山城村
1110,京都府,京丹波町
1111,京都府,伊根町
1112,京都府,与謝野町
1113,大阪府,大阪市
1114,大阪府,堺市
1115,大阪府,岸和田市
1116,大阪府,豊中市
1117,大阪府,池田市
1118,大阪府,吹田市
1119,大阪府,泉大津市
1120,大阪府,高槻市
1121,大阪府,貝塚市
1122,大阪府,守口市
1123,大阪府,枚方市
1124,大阪府,茨木市
1125,大阪府,八尾市
1126,大阪府,泉佐野市
1127,大阪府,富田林市
1128,大阪府,寝屋川市
1129,大阪府,河内長野市
1130,大阪府,松原市
1131,大阪府,大東市
1132,大阪府,和泉市
1133,大阪府,箕面市
1134,大阪府,柏原市
1135,大阪府,羽曳野市
1136,大阪府,門真市
1137,大阪府,摂津市
1138,大阪府,高石市
1139,大阪府,藤井寺市
1140,大阪府,東大阪市
1141,大阪府,泉南市
1142,大阪府,四條畷市
1143,大阪府,交野市
1144,大阪府,大阪狭山市
1145,大阪府,阪南市
1146,大阪府,島本町
1147,大阪府,豊能町
1148,大阪府,能勢町
1149,大阪府,忠岡町
1150,大阪府,熊取町
1151,大阪府,田尻町
1152,大阪府,岬町
1153,大阪府,太子町
1154,大阪府,河南町
1155,大阪府,千早赤阪村
1156,兵庫県,神戸市
1157,兵庫県,姫路市
1158,兵庫県,尼崎市
1159,兵庫県,明石市
1160,兵庫県,西宮市
1161,兵庫県,洲本市
1162,兵庫県,芦屋市
1163,兵庫県,伊丹市
1164,兵庫県,相生市
1165,兵庫県,豊岡市
1166,兵庫県,加古川市
1167,兵庫県,赤穂市
1168,兵庫県,西脇市
1169,兵庫県,宝塚市
1170,兵庫県,三木市
1171,兵庫県,高砂市
1172,兵庫県,川西市
1173,兵庫県,小野市
1174,兵庫県,三田市
1175,兵庫県,加西市
1176,兵庫県,丹波篠山市
1177,兵庫県,養父市
1178,兵庫県,丹波市
1179,兵庫県,南あわじ市
1180,兵庫県,朝来市
1181,兵庫県,淡路市
1182,兵庫県,宍粟市
1183,兵庫県,加東市
1184,兵庫県,たつの市
1185,兵庫県,猪名川町
1186,兵庫県,多可町
1187,兵庫県,稲美町
1188,兵庫県,播磨町
1189,兵庫県,市川町
1190,兵庫県,福崎町
1191,兵庫県,神河町
1192,兵庫県,太子町
1193,兵庫県,上郡町
1194,兵庫県,佐用町
1195,兵庫県,香美町
1196,兵庫県,新温泉町
1197,奈良県,奈良市
1198,奈良県,大和高田市
1199,奈良県,大和郡山市
1200,奈良県,天理市
1201,奈良県,橿原市
1202,奈良県,桜井市
1203,奈良県,五條市
1204,奈良県,御所市
1205,奈良県,生駒市
1206,奈良県,香芝市
1207,奈良県,葛城市
1208,奈良県,宇陀市
1209,奈良県,山添村
1210,奈良県,平群町
1211,奈良県,三郷町
1212,奈良県,斑鳩町
1213,奈良県,安堵町
1214,奈良県,川西町
1215,奈良県,三宅町
1216,奈良県,田原本町
1217,奈良県,曽爾村
1218,奈良県,御杖村
1219,奈良県,高取町
1220,奈良県,明日香村
1221,奈良県,上牧町
1222,奈良県,王寺町
1223,奈良県,広陵町
1224,奈良県,河合町
1225,奈良県,吉野町
1226,奈良県,大淀町
1227,奈良県,下市町
1228,奈良県,黒滝村
1229,奈良県,天川村
1230,奈良県,野迫川村
1231,奈良県,十津川村
1232,奈良県,下北山村
1233,奈良県,上北山村
1234,奈良県,川上村
1235,奈良県,東吉野村
1236,和歌山県,和歌山市
1237,和歌山県,海南市
1238,和歌山県,橋本市
1239,和歌山県,有田市
1240,和歌山県,御坊市
1241,和歌山県,田辺市
1242,和歌山県,新宮市
1243,和歌山県,紀の川市
1244,和歌山県,岩出市
1245,和歌山県,紀美野町
1246,和歌山県,かつらぎ町
1247,和歌山県,九度山町
1248,和歌山県,高野町
1249,和歌山県,湯浅町
1250,和歌山県,広川町
1251,和歌山県,有田川町
1252,和歌山県,美浜町
1253,和歌山県,日高町
1254,和歌山県,由良町
1255,和歌山県,印南町
1256,和歌山県,みなべ町
1257,和歌山県,日高川町
1258,和歌山県,白浜町
1259,和歌山県,上富田町
1260,和歌山県,すさみ町
1261,和歌山県,那智勝浦町
1262,和歌山県,太地町
1263,和歌山県,古座川町
1264,和歌山県,北山村
1265,和歌山県,串本町
1266,鳥取県,鳥取市
1267,鳥取県,米子市
1268,鳥取県,倉吉市
1269,鳥取県,境港市
1270,鳥取県,岩美町
1271,鳥取県,若桜町
1272,鳥取県,智頭町
1273,鳥取県,八頭町
1274,鳥取県,三朝町
1275,鳥取県,湯梨浜町
1276,鳥取県,琴浦町
1277,鳥取県,北栄町
1278,鳥取県,日吉津村
1279,鳥取県,大山町
1280,鳥取県,南部町
1281,鳥取県,伯耆町
1282,鳥取県,日南町
1283,鳥取県,日野町
1284,鳥取県,江府町
1285,島根県,松江市
1286,島根県,浜田市
1287,島根県,出雲市
1288,島根県,益田市
1289,島根県,大田市
1290,島根県,安来市
1291,島根県,江津市
1292,島根県,雲南市
1293,島根県,奥出雲町
1294,島根県,飯南町
1295,島根県,川本町
1296,島根県,美郷町
1297,島根県,邑南町
1298,島根県,津和野町
1299,島根県,吉賀町
1300,島根県,海士町
1301,島根県,西ノ島町
1302,島根県,知夫村
1303,島根県,隠岐の島町
1304,岡山県,岡山市
1305,岡山県,倉敷市
1306,岡山県,津山市
1307,岡山県,玉野市
1308,岡山県,笠岡市
1309,岡山県,井原市
1310,岡山県,総社市
1311,岡山県,高梁市
1312,岡山県,新見市
1313,岡山県,備前市
1314,岡山県,瀬戸内市
1315,岡山県,赤磐市
1316,岡山県,真庭市
1317,岡山県,美作市
1318,岡山県,浅口市
1319,岡山県,和気町
1320,岡山県,早島町
1321,岡山県,里庄町
1322,岡山県,矢掛町
1323,岡山県,新庄村
1324,岡山県,鏡野町
1325,岡山県,勝央町
1326,岡山県,奈義町
1327,岡山県,西粟倉村
1328,岡山県,久米南町
1329,岡山県,美咲町
1330,岡山県,吉備中央町
1331,広島県,広島市
1332,広島県,呉市
1333,広島県,竹原市
1334,広島県,三原市
1335,広島県,尾道市
1336,広島県,福山市
1337,広島県,府中市
1338,広島県,三次市
1339,広島県,庄原市
1340,広島県,大竹市
1341,広島県,東広島市
1342,広島県,廿日市市
1343,広島県,安芸高田市
1344,広島県,江田島市
1345,広島県,府中町
1346,広島県,海田町
1347,広島県,熊野町
1348,広島県,坂町
1349,広島県,安芸太田町
1350,広島県,北広島町
1351,広島県,大崎上島町
1352,広島県,世羅町
1353,広島県,神石高原町
1354,山口県,下関市
1355,山口県,宇部市
1356,山口県,山口市
1357,山口県,萩市
1358,山口県,防府市
1359,山口県,下松市
1360,山口県,岩国市
1361,山口県,光市
1362,山口県,長門市
1363,山口県,柳井市
1364,山口県,美祢市
1365,山口県,周南市
1366,山口県,山陽小野田市
1367,山口県,周防大島町
1368,山口県,和木町
1369,山口県,上関町
1370,山口県,田布施町
1371,山口県,平生町
1372,山口県,阿武町
1373,徳島県,徳島市
1374,徳島県,鳴門市
1375,徳島県,小松島市
1376,徳島県,阿南市
1377,徳島県,吉野川市
1378,徳島県,阿波市
1379,徳島県,美馬市
1380,徳島県,三好市
1381,徳島県,勝浦町
1382,徳島県,上勝町
1383,徳島県,佐那河内村
1384,徳島県,石井町
1385,徳島県,神山町
1386,徳島県,那賀町
1387,徳島県,牟岐町
1388,徳島県,美波町
1389,徳島県,海陽町
1390,徳島県,松茂町
1391,徳島県,北島町
1392,徳島県,藍住町
1393,徳島県,板野町
1394,徳島県,上板町
1395,徳島県,つるぎ町
1396,徳島県,東みよし町
1397,香川県,高松市
1398,香川県,丸亀市
1399,香川県,坂出市
1400,香川県,善通寺市
1401,香川県,観音寺市
1402,香川県,さぬき市
1403,香川県,東かがわ市
1404,香川県,三豊市
1405,香川県,土庄町
1406,香川県,小豆島町
1407,香川県,三木町
1408,香川県,直島町
1409,香川県,宇多津町
1410,香川県,綾川町
1411,香川県,琴平町
1412,香川県,多度津町
1413,香川県,まんのう町
1414,愛媛県,松山市
1415,愛媛県,今治市
1416,愛媛県,宇和島市
1417,愛媛県,八幡浜市
1418,愛媛県,新居浜市
1419,愛媛県,西条市
1420,愛媛県,大洲市
1421,愛媛県,伊予市
1422,愛媛県,四国中央市
1423,愛媛県,西予市
1424,愛媛県,東温市
1425,愛媛県,上島町
1426,愛媛県,久万高原町
1427,愛媛県,松前町
1428,愛媛県,砥部町
1429,愛媛県,内子町
1430,愛媛県,伊方町
1431,愛媛県,松野町
1432,愛媛県,鬼北町
1433,愛媛県,愛南町
1434,高知県,高知市
1435,高知県,室戸市
1436,高知県,安芸市
1437,高知県,南国市
1438,高知県,土佐市
1439,高知県,須崎市
1440,高知県,宿毛市
1441,高知県,土佐清水市
1442,高知県,四万十市
1443,高知県,香南市
1444,高知県,香美市
1445,高知県,東洋町
1446,高知県,奈半利町
1447,高知県,田野町
1448,高知県,安田町
1449,高知県,北川村
1450,高知県,馬路村
1451,高知県,芸西村
1452,高知県,本山町
1453,高知県,大豊町
1454,高知県,土佐町
1455,高知県,大川村
1456,高知県,いの町
1457,高知県,仁淀川町
1458,高知県,中土佐町
1459,高知県,佐川町
1460,高知県,越知町
1461,高知県,檮原町
1462,高知県,日高村
1463,高知県,津野町
1464,高知県,四万十町
1465,高知県,大月町
1466,高知県,三原村
1467,高知県,黒潮町
1468,福岡県,北九州市
1469,福岡県,福岡市
1470,福岡県,大牟田市
1471,福岡県,久留米市
1472,福岡県,直方市
1473,福岡県,飯塚市
1474,福岡県,田川市
1475,福岡県,柳川市
1476,福岡県,八女市
1477,福岡県,筑後市
1478,福岡県,大川市
1479,福岡県,行橋市
1480,福岡県,豊前市
1481,福岡県,中間市
1482,福岡県,小郡市
1483,福岡県,筑紫野市
1484,福岡県,春日市
1485,福岡県,大野城市
1486,福岡県,宗像市
1487,福岡県,太宰府市
1488,福岡県,古賀市
1489,福岡県,福津市
1490,福岡県,うきは市
1491,福岡県,宮若市
1492,福岡県,嘉麻市
1493,福岡県,朝倉市
1494,福岡県,みやま市
1495,福岡県,糸島市
1496,福岡県,那珂川市
1497,福岡県,宇美町
1498,福岡県,篠栗町
1499,福岡県,志免町
1500,福岡県,須恵町
1501,福岡県,新宮町
1502,福岡県,久山町
1503,福岡県,粕屋町
1504,福岡県,芦屋町
1505,福岡県,水巻町
1506,福岡県,岡垣町
1507,福岡県,遠賀町
1508,福岡県,小竹町
1509,福岡県,鞍手町
1510,福岡県,桂川町
1511,福岡県,筑前町
1512,福岡県,東峰村
1513,福岡県,大刀洗町
1514,福岡県,大木町
1515,福岡県,広川町
1516,福岡県,香春町
1517,福岡県,添田町
1518,福岡県,糸田町
1519,福岡県,川崎町
1520,福岡県,大任町
1521,福岡県,赤村
1522,福岡県,福智町
1523,福岡県,苅田町
1524,福岡県,みやこ町
1525,福岡県,吉富町
1526,福岡県,上毛町
1527,福岡県,築上町
1528,佐賀県,佐賀市
1529,佐賀県,唐津市
1530,佐賀県,鳥栖市
1531,佐賀県,多久市
1532,佐賀県,伊万里市
1533,佐賀県,武雄市
1534,佐賀県,鹿島市
1535,佐賀県,小城市
1536,佐賀県,嬉野市
1537,佐賀県,神埼市
1538,佐賀県,吉野ヶ里町
1539,佐賀県,基山町
1540,佐賀県,上峰町
1541,佐賀県,みやき町
1542,佐賀県,玄海町
1543,佐賀県,有田町
1544,佐賀県,大町町
1545,佐賀県,江北町
1546,佐賀県,白石町
1547,佐賀県,太良町
1548,長崎県,長崎市
1549,長崎県,佐世保市
1550,長崎県,島原市
1551,長崎県,諫早市
1552,長崎県,大村市
1553,長崎県,平戸市
1554,長崎県,松浦市
1555,長崎県,対馬市
1556,長崎県,壱岐市
1557,長崎県,五島市
1558,長崎県,西海市
1559,長崎県,雲仙市
1560,長崎県,南島原市
1561,長崎県,長与町
1562,長崎県,時津町
1563,長崎県,東彼杵町
1564,長崎県,川棚町
1565,長崎県,波佐見町
1566,長崎県,小値賀町
1567,長崎県,佐々町
1568,長崎県,新上五島町
1569,熊本県,熊本市
1570,熊本県,八代市
1571,熊本県,人吉市
1572,熊本県,荒尾市
1573,熊本県,水俣市
1574,熊本県,玉名市
1575,熊本県,山鹿市
1576,熊本県,菊池市
1577,熊本県,宇土市
1578,熊本県,上天草市
1579,熊本県,宇城市
1580,熊本県,阿蘇市
1581,熊本県,天草市
1582,熊本県,合志市
1583,熊本県,美里町
1584,熊本県,玉東町
1585,熊本県,南関町
1586,熊本県,長洲町
1587,熊本県,和水町
1588,熊本県,大津町
1589,熊本県,菊陽町
1590,熊本県,南小国町
1591,熊本県,小国町
1592,熊本県,産山村
1593,熊本県,高森町
1594,熊本県,西原村
1595,熊本県,南阿蘇村
1596,熊本県,御船町
1597,熊本県,嘉島町
1598,熊本県,益城町
1599,熊本県,甲佐町
1600,熊本県,山都町
1601,熊本県,氷川町
1602,熊本県,芦北町
1603,熊本県,津奈木町
1604,熊本県,錦町
1605,熊本県,多良木町
1606,熊本県,湯前町
1607,熊本県,水上村
1608,熊本県,相良村
1609,熊本県,五木村
1610,熊本県,山江村
1611,熊本県,球磨村
1612,熊本県,あさぎり町
1613,熊本県,苓北町
1614,大分県,大分市
1615,大分県,別府市
1616,大分県,中津市
1617,大分県,日田市
1618,大分県,佐伯市
1619,大分県,臼杵市
1620,大分県,津久見市
1621,大分県,竹田市
1622,大分県,豊後高田市
1623,大分県,杵築市
1624,大分県,宇佐市
1625,大分県,豊後大野市
1626,大分県,由布市
1627,大分県,国東市
1628,大分県,姫島村
1629,大分県,日出町
1630,大分県,九重町
1631,大分県,玖珠町
1632,宮崎県,宮崎市
1633,宮崎県,都城市
1634,宮崎県,延岡市
1635,宮崎県,日南市
1636,宮崎県,小林市
1637,宮崎県,日向市
1638,宮崎県,串間市
1639,宮崎県,西都市
1640,宮崎県,えびの市
1641,宮崎県,三股町
1642,宮崎県,高原町
1643,宮崎県,国富町
1644,宮崎県,綾町
1645,宮崎県,高鍋町
1646,宮崎県,新富町
1647,宮崎県,西米良村
1648,宮崎県,木城町
1649,宮崎県,川南町
1650,宮崎県,都農町
1651,宮崎県,門川町
1652,宮崎県,諸塚村
1653,宮崎県,椎葉村
1654,宮崎県,美郷町
1655,宮崎県,高千穂町
1656,宮崎県,日之影町
1657,宮崎県,五ヶ瀬町
1658,鹿児島県,鹿児島市
1659,鹿児島県,鹿屋市
1660,鹿児島県,枕崎市
1661,鹿児島県,阿久根市
1662,鹿児島県,出水市
1663,鹿児島県,指宿市
1664,鹿児島県,西之表市
1665,鹿児島県,垂水市
1666,鹿児島県,薩摩川内市
1667,鹿児島県,日置市
1668,鹿児島県,曽於市
1669,鹿児島県,霧島市
1670,鹿児島県,いちき串木野市
1671,鹿児島県,南さつま市
1672,鹿児島県,志布志市
1673,鹿児島県,奄美市
1674,鹿児島県,南九州市
1675,鹿児島県,伊佐市
1676,鹿児島県,姶良市
1677,鹿児島県,三島村
1678,鹿児島県,十島村
1679,鹿児島県,さつま町
1680,鹿児島県,長島町
1681,鹿児島県,湧水町
1682,鹿児島県,大崎町
1683,鹿児島県,東串良町
1684,鹿児島県,錦江町
1685,鹿児島県,南大隅町
1686,鹿児島県,肝付町
1687,鹿児島県,中種子町
1688,鹿児島県,南種子町
1689,鹿児島県,屋久島町
1690,鹿児島県,大和村
1691,鹿児島県,宇検村
1692,鹿児島県,瀬戸内町
1693,鹿児島県,龍郷町
1694,鹿児島県,喜界町
1695,鹿児島県,徳之島町
1696,鹿児島県,天城町
1697,鹿児島県,伊仙町
1698,鹿児島県,和泊町
1699,鹿児島県,知名町
1700,鹿児島県,与論町
1701,沖縄県,那覇市
1702,沖縄県,宜野湾市
1703,沖縄県,石垣市
1704,沖縄県,浦添市
1705,沖縄県,名護市
1706,沖縄県,糸満市
1707,沖縄県,沖縄市
1708,沖縄県,豊見城市
1709,沖縄県,うるま市
1710,沖縄県,宮古島市
1711,沖縄県,南城市
1712,沖縄県,国頭村
1713,沖縄県,大宜味村
1714,沖縄県,東村
1715,沖縄県,今帰仁村
1716,沖縄県,本部町
1717,沖縄県,恩納村
1718,沖縄県,宜野座村
1719,沖縄県,金武町
1720,沖縄県,伊江村
1721,沖縄県,読谷村
1722,沖縄県,嘉手納町
1723,沖縄県,北谷町
1724,沖縄県,北中城村
1725,沖縄県,中城村
1726,沖縄県,西原町
1727,沖縄県,与那原町
1728,沖縄県,南風原町
1729,沖縄県,渡嘉敷村
1730,沖縄県,座間味村
1731,沖縄県,粟国村
1732,沖縄県,渡名喜村
1733,沖縄県,南大東村
1734,沖縄県,北大東村
1735,沖縄県,伊平屋村
1736,沖縄県,伊是名村
1737,沖縄県,久米島町
1738,沖縄県,八重瀬町
1739,沖縄県,多良間村
1740,沖縄県,竹富町
1741,沖縄県,与那国町
